user_id,trips_per_month_label,ratio_stay_time_in_home_label,trip_length_label,rg_time_label,rg_quantity_label,shopping_label,recreation_label,restaurant_label,ratio_of_uninterested_trips_label,rg4/rg_quantity_label,k_quantity_label,random_entropy_label,location_entropy_label,OD_entropy_label,sequence_entropy_label,distance_from_home_entropy_label,speed_std_mean_label,speed_mean_std_label,speed_std_max_label,acceleration_std_max_label,harsh_shift_ratio_std_label,harsh_steering_ratio_std_label,harsh_shift_ratio_mean_label,harsh_steering_ratio_mean_label,speed_mean_label,speed_max_label,over_speed_ratio_label,over_speed_quantity_label,junction_over_speed_label,junction_speed_mean_label,day_entropy_label,datetime_entropy_label,extroversion_label,openness_label,neuroticism_label,conscientiousness_label
001,high,medium,high,high,medium,high,medium,medium,low,medium,medium,high,medium,high,medium,high,high,medium,high,medium,medium,low,high,low,medium,medium,medium,medium,medium,medium,low,low,high,medium,medium,medium
002,low,medium,low,low,low,medium,low,low,medium,medium,low,low,low,low,medium,low,low,low,low,low,low,high,low,high,high,high,high,high,high,high,high,high,low,low,low,high
003,high,medium,medium,medium,medium,high,high,medium,medium,high,high,high,high,high,high,high,low,medium,medium,high,high,high,medium,high,medium,high,medium,medium,medium,medium,low,low,high,high,high,medium
004,low,high,medium,high,high,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,medium,low,low,medium,medium,high,high,medium,medium,high,high,low,medium,medium,medium,low,high
005,medium,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,high,medium,medium,medium,high,medium,high,low,low,high,high,low,low,medium,high
006,medium,medium,low,medium,low,medium,low,medium,low,high,high,medium,medium,medium,medium,low,medium,medium,medium,medium,high,low,high,medium,high,medium,medium,high,high,medium,medium,medium,low,medium,medium,medium
007,high,medium,low,low,low,medium,low,high,low,medium,medium,medium,low,low,low,low,low,low,low,medium,medium,medium,medium,high,high,high,high,high,medium,low,medium,low,medium,low,low,medium
008,medium,high,high,high,high,medium,medium,medium,high,medium,low,high,high,high,high,high,high,high,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,high,high,high,low
009,medium,medium,high,medium,high,low,low,high,medium,medium,medium,medium,medium,high,medium,high,high,medium,high,medium,high,low,high,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,high,low
010,low,low,medium,medium,medium,low,medium,low,high,high,medium,low,medium,medium,medium,medium,medium,medium,low,low,high,high,high,high,high,medium,high,high,low,medium,medium,high,low,medium,medium,high
011,medium,medium,medium,low,low,low,low,high,low,medium,low,medium,low,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,high,medium,medium,medium,high,high,low,low,low,low,medium,medium
012,high,high,high,high,high,medium,low,medium,high,medium,low,high,high,high,high,high,high,high,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,high,high,high,low
013,medium,medium,high,high,high,medium,medium,medium,high,low,medium,medium,medium,medium,medium,medium,high,high,high,high,medium,medium,high,medium,low,low,low,low,medium,medium,low,medium,high,medium,high,low
014,high,medium,high,high,high,high,medium,medium,low,low,low,medium,medium,high,medium,high,high,high,high,medium,high,medium,high,medium,medium,low,low,low,medium,medium,low,low,high,medium,high,low
015,high,high,medium,medium,medium,low,low,medium,low,medium,medium,medium,low,medium,low,medium,medium,low,high,high,medium,low,high,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
016,medium,high,medium,medium,medium,high,medium,low,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,high,high,high,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
017,high,high,high,medium,medium,medium,medium,high,high,medium,low,high,high,high,high,high,high,medium,high,low,medium,low,medium,low,low,medium,medium,medium,medium,medium,low,low,high,high,medium,low
018,medium,low,low,low,low,medium,medium,high,low,high,high,medium,medium,medium,medium,medium,low,low,low,medium,medium,medium,high,medium,high,high,high,high,high,high,medium,low,low,medium,medium,high
019,high,medium,high,high,high,low,low,low,low,low,low,medium,medium,medium,medium,medium,high,medium,high,high,medium,low,medium,low,low,low,medium,medium,low,low,high,medium,high,medium,medium,low
020,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,low,low,high,high,medium,high,high,high,medium,medium,medium,high,low,high
021,high,low,low,high,medium,low,low,low,low,high,high,high,low,low,low,low,low,medium,medium,high,high,high,medium,medium,high,high,medium,medium,high,high,low,low,medium,medium,high,medium
022,medium,medium,medium,medium,medium,low,low,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,high,low,low,medium,medium,medium,low,low,medium,medium,medium,medium,medium,medium
023,low,low,low,low,low,high,medium,high,medium,medium,high,low,low,low,low,low,low,high,medium,high,high,high,high,high,high,medium,high,high,high,high,low,medium,low,low,high,high
024,medium,medium,high,high,high,low,low,low,medium,medium,medium,medium,medium,medium,medium,high,medium,high,medium,high,low,high,medium,high,medium,high,medium,low,high,high,low,medium,medium,medium,high,medium
025,medium,medium,high,medium,medium,low,high,high,medium,medium,medium,high,medium,high,medium,high,high,high,medium,medium,high,low,high,low,low,low,medium,medium,low,low,low,low,high,medium,medium,low
026,low,medium,low,low,low,low,low,high,medium,medium,medium,low,medium,medium,medium,low,low,low,low,high,medium,medium,medium,high,high,high,high,high,high,high,medium,medium,low,medium,medium,high
027,high,low,medium,medium,medium,low,low,medium,medium,low,low,high,high,high,high,high,high,medium,low,low,low,medium,low,high,high,high,high,high,medium,medium,low,low,medium,high,low,medium
028,high,high,medium,medium,high,medium,medium,low,high,high,high,high,high,high,high,high,low,medium,medium,medium,medium,medium,medium,low,high,high,medium,medium,medium,medium,low,low,high,high,low,medium
029,medium,low,low,low,low,high,high,high,low,medium,low,low,low,low,low,low,low,low,low,low,low,medium,low,medium,high,high,high,high,high,high,high,high,medium,low,low,high
