user_id,trips_per_month,ratio_stay_time_in_home,trip_length,rg_time,rg_quantity,shopping,recreation,restaurant,ratio_of_uninterested_trips,rg4/rg_quantity,k_quantity,random_entropy,location_entropy,OD_entropy,sequence_entropy,distance_from_home_entropy,speed_std_mean,speed_mean_std,speed_std_max,acceleration_std_max,harsh_shift_ratio_std,harsh_steering_ratio_std,harsh_shift_ratio_mean,harsh_steering_ratio_mean,speed_mean,speed_max,over_speed_ratio,over_speed_quantity,junction_over_speed,junction_speed_mean,day_entropy,datetime_entropy,extroversion,openness,neuroticism,conscientiousness
001,0.753817575,0.49725644,0.647701929,0.69215985,0.602497896,0.994444101,0.504048467,0.596076218,0.409437033,0.466719856,0.5,0.627790442,0.581468035,0.687373079,0.55987786,0.633701208,0.618043293,0.440959175,0.619039818,0.446016871,0.598471073,0.270391938,0.654235275,0.307753704,0.430461661,0.431492847,0.553802875,0.561726315,0.391855212,0.415050684,0.341786573,0.303067416,5.288002476,4.466367513,3.954911147,3.429243583
002,0.341608808,0.484810621,0.297538816,0.255133341,0.242164518,0.452283568,0.253325279,0.371376481,0.589714069,0.424999082,0.444671945,0.257127993,0.380928864,0.366370371,0.445730734,0.330943748,0.224867617,0.167311911,0.221989702,0.276241865,0.31355627,0.732285552,0.286179057,0.981253682,0.929010503,0.795629719,0.647438389,0.628041618,0.857518523,0.83913244,0.730931627,0.752787351,2.698241431,3.240486806,3.203685655,6.180490169
003,0.816937969,0.497413937,0.504921808,0.554809406,0.600191378,0.776380854,0.704189712,0.479061305,0.559620282,0.706585131,0.85542225,0.815039671,0.758496506,0.794428329,0.736488852,0.674554474,0.317832425,0.418811378,0.463021074,0.805818533,0.689871978,0.754051937,0.559130438,0.757345035,0.584834671,0.611189353,0.541709162,0.475547935,0.455616733,0.558242542,0.271534633,0.249561506,4.933906368,5.900635495,4.765882798,3.748236535
004,0.368569783,0.737367978,0.424906718,0.717579233,0.729124746,0.419357303,0.341573676,0.365701524,0.572754172,0.383785252,0.444671945,0.377327047,0.514934181,0.423865423,0.462718503,0.486438147,0.239172703,0.485845575,0.403411429,0.413968363,0.387701606,0.405306237,0.40444852,0.437515999,0.732523597,0.779575866,0.573305228,0.560244857,0.614140988,0.622898014,0.362975221,0.593756137,4.10418096,3.666494669,3.177370431,4.839419907
005,0.455228551,0.071418078,0.357176318,0.218637379,0.274494809,0.571372518,0.225037211,0.379079176,0.276046845,0.312214757,0.444671945,0.113202091,0.159465095,0.132841679,0.177078424,0.172642079,0.318253491,0.430673378,0.419785881,0.618587711,0.401506042,0.660297682,0.569020883,0.520169202,0.48028875,0.652303636,0.562108499,0.584145485,0.326943081,0.300434629,0.894491172,0.742654456,2.55244404,1.788162914,3.938294272,4.543369709
006,0.52622645,0.570957901,0.365156007,0.431816671,0.347912145,0.476873557,0.316369474,0.503297479,0.408439996,0.683456339,0.708660825,0.460199238,0.398801634,0.451949002,0.420051926,0.369035587,0.468324015,0.463478234,0.399126872,0.484233633,0.750711455,0.359762264,0.844239673,0.425713333,0.613866942,0.586364214,0.547550325,0.58243506,0.614115896,0.557262624,0.521493375,0.429746579,3.538609684,3.900594547,4.195589478,4.452835015
007,0.642750343,0.576311954,0.333721711,0.293066471,0.307566632,0.641855428,0.304075572,0.645263939,0.331161811,0.600091667,0.582570206,0.444194062,0.317973782,0.381870666,0.339549895,0.365525791,0.349803771,0.235486055,0.28216399,0.585972427,0.44906805,0.452698686,0.45801529,0.68039644,0.663845792,0.683403842,0.644540944,0.621181928,0.392739174,0.381560571,0.51005484,0.401422905,3.744612051,3.362937879,3.493604709,4.298749996
008,0.593794228,0.830214874,0.63766559,0.785901938,0.780951224,0.575211102,0.495400719,0.596416095,0.810009,0.443975588,0.444671945,0.714301957,0.771637734,0.6773738,0.721146558,0.772191238,0.681218459,0.817720418,0.638043039,0.679895215,0.783652059,0.401208168,0.576926417,0.373293362,0.282495229,0.275276,0.076881669,0.061274535,0.377487383,0.355007028,0.277100977,0.375941368,5.295555768,5.35530782,4.951957138,2.08146419
009,0.614069181,0.518688582,0.632730716,0.59907201,0.645296619,0.414660418,0.294732382,0.647997598,0.469341562,0.487016966,0.472250765,0.595927483,0.566133278,0.638872442,0.564776521,0.608253039,0.726746717,0.596651213,0.792110431,0.43637707,0.639478487,0.384797968,0.702441846,0.405662769,0.368576706,0.372709504,0.337543273,0.393234865,0.512911327,0.492312941,0.43448076,0.405280671,4.367247507,4.402572056,4.684266501,3.317050047
010,0.33170351,0.240143466,0.479773176,0.399564032,0.465850733,0.363211293,0.421152709,0.338019343,0.662103872,0.614607033,0.582570206,0.358310077,0.452170515,0.395301848,0.499459323,0.485667833,0.406249289,0.591328153,0.206417595,0.406804143,0.695310425,0.776774285,0.775232334,0.634401687,0.623495266,0.606246355,0.611828494,0.597818868,0.378351646,0.476947391,0.587930283,0.687679469,3.039418261,4.050190708,4.49251791,4.570297773
