userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon,speed_mean,speed_std,speed_max,acceleration_std,harsh_acceleration,harsh_breaking,harsh_steering,harsh_acceleration_ratio,harsh_breaking_ratio,harsh_steering_ratio,over_speed,over_speed_ratio,junction_over_speed,junction_speed_mean,fatigue_driving
20,2019-04-01 08:41:01,2019-04-01 22:30:57,22.56666,113.89573,0 days 13:49:56,0,0,22.56868187804879,113.8951422764228,6.98856827449473,4.187019526327393,17.103681457133398,0.44251066648584764,0,1,0,0.0,0.007042253521126761,0.0,0,0.0,0.5,6.494965294675275,0
20,2019-04-01 22:42:05,2019-04-02 19:09:30,22.570792,113.86387,0 days 20:27:25,1,1,22.57086720000001,113.8639100727273,8.202465352613972,4.0680849998388595,14.717161454545172,0.3785301775792629,1,0,2,0.008130081300813009,0.0,0.016260162601626018,0,0.0,0.6666666666666666,7.647017541895683,0
20,2019-04-02 19:31:51,2019-04-04 09:41:07,22.570853,113.86398,1 days 14:09:16,3,1,22.57086720000001,113.8639100727273,5.5773104538514895,4.773210584521644,21.19658272068494,0.42340194513844076,0,1,2,0.0,0.005050505050505051,0.010101010101010102,0,0.0,0.3333333333333333,6.140412793603893,0
20,2019-04-04 10:06:36,2019-04-05 12:48:48,22.568837,113.895127,1 days 02:42:12,4,0,22.56868187804879,113.8951422764228,5.371959928907511,3.5109070157462425,12.341445676266275,0.35869158937460505,0,0,6,0.0,0.0,0.037037037037037035,0,0.0,0.5,8.716021226471224,0
20,2019-04-05 13:07:24,2019-04-05 21:31:50,22.569043,113.895008,0 days 08:24:26,4,0,22.56868187804879,113.8951422764228,7.718364728110741,5.194145175420919,19.34429144010496,0.48256007292372194,0,0,1,0.0,0.0,0.00819672131147541,0,0.0,0.0,0.0,0
20,2019-04-05 21:45:34,2019-04-08 13:37:41,22.570503,113.863758,2 days 15:52:07,0,1,22.57086720000001,113.8639100727273,8.053429088318548,4.82164456517798,18.9804779709062,0.43292956082054707,0,1,2,0.0,0.0078125,0.015625,0,0.0,0.42857142857142855,5.217976269969504,0
20,2019-04-08 13:48:28,2019-04-08 14:08:58,22.564492,113.884255,0 days 00:20:30,0,-1,22.564492,113.884255,7.815078535124746,3.864479259015398,16.13024604091144,0.48769022848640614,0,1,2,0.0,0.011111111111111112,0.022222222222222223,0,0.0,0.0,0.0,0
20,2019-04-08 14:25:34,2019-04-08 22:50:48,22.569095,113.89498799999998,0 days 08:25:14,0,0,22.56868187804879,113.8951422764228,5.298506155915811,3.9202877845508155,16.439390550289257,0.40401896259283393,0,1,3,0.0,0.007751937984496124,0.023255813953488372,0,0.0,0.0,4.201189386462867,0
20,2019-04-08 23:02:24,2019-04-09 08:18:38,22.57079,113.863823,0 days 09:16:14,1,1,22.57086720000001,113.8639100727273,8.439791109948493,4.712903250262783,19.688241682725195,0.41102397645378447,0,0,4,0.0,0.0,0.03278688524590164,0,0.0,0.5,8.724154957036092,0
20,2019-04-09 08:35:00,2019-04-09 18:56:59,22.56888,113.895137,0 days 10:21:59,1,0,22.56868187804879,113.8951422764228,7.999328131308039,4.960959996477676,19.46345009425191,0.5346938879192166,0,2,2,0.0,0.017094017094017096,0.017094017094017096,0,0.0,0.0,4.705038652058207,0
20,2019-04-09 19:21:44,2019-04-10 08:38:24,22.570718,113.863863,0 days 13:16:40,2,1,22.57086720000001,113.8639100727273,4.817488376463425,4.201930802950216,16.2291605737158,0.30074501672197584,0,0,5,0.0,0.0,0.024271844660194174,0,0.0,0.16666666666666666,4.914270191616472,0
20,2019-04-10 08:56:06,2019-04-10 19:13:20,22.568858,113.895142,0 days 10:17:14,2,0,22.56868187804879,113.8951422764228,6.403373917674287,4.544659032041445,16.60939953622995,0.39457927976327517,0,0,6,0.0,0.0,0.041379310344827586,0,0.0,0.0,5.361292608473393,0
20,2019-04-10 19:33:59,2019-04-11 08:12:40,22.570957,113.864045,0 days 12:38:41,3,1,22.57086720000001,113.8639100727273,6.244259527144943,3.921628137668396,14.901893455783568,0.30370200465072533,0,0,3,0.0,0.0,0.01875,0,0.0,0.4,6.329972105366503,0
20,2019-04-11 12:08:13,2019-04-11 13:01:00,22.730848,114.272923,0 days 00:52:47,3,-1,22.730848,114.272923,10.008532793157856,6.4580803940405085,25.575472197276994,0.32551975814555606,0,1,37,0.0,0.0005530973451327434,0.020464601769911505,55,0.030420353982300884,0.3333333333333333,5.967097911080878,0
20,2019-04-11 16:43:49,2019-04-11 17:39:06,22.559132,113.961618,0 days 00:55:17,3,-1,22.559132,113.961618,10.349363490466413,6.560339009067014,27.40285337642616,0.34944392679827396,0,2,35,0.0,0.0012634238787113076,0.022109917877447885,87,0.054958938723941884,0.35,7.087674845971432,0
20,2019-04-11 18:07:33,2019-04-15 08:22:16,22.570932,113.863878,3 days 14:14:43,0,1,22.57086720000001,113.8639100727273,8.628253034629493,4.598866552978508,19.598380402684192,0.3150921454274285,0,0,2,0.0,0.0,0.006688963210702341,0,0.0,0.0,5.524129895679575,0
20,2019-04-15 08:52:46,2019-04-15 11:48:14,22.568888,113.895267,0 days 02:55:28,0,0,22.56868187804879,113.8951422764228,5.219795506703291,4.337050001491969,19.625945238886743,0.4350182937357227,1,2,5,0.004219409282700422,0.008438818565400843,0.02109704641350211,0,0.0,0.3333333333333333,6.028025789143783,0
