name,label,F,pvalue,t,dof,tail,pvalue,CI95%,cohen-d
Trips per month,Equal variances assumed,2.918801429886797,0.08842452044636526,5.321605182843311,356,two-sided,1.823734334549428e-07,[0.06 0.12],0.5625111467257055
Trips per month,Equal variances not assumed,,,5.321605182843312,354.4050886372736,two-sided,1.828209209291782e-07,[0.06 0.12],0.5625111467257055
Ratio of stay time at home,Equal variances assumed,28.145922335202716,1.981692612437188e-07,15.128028590268238,356,two-sided,2.824925954840028e-40,[0.21 0.27],1.599082310248419
Ratio of stay time at home,Equal variances not assumed,,,15.128028590268238,324.6309460466966,two-sided,1.6762057291629806e-39,[0.21 0.27],1.599082310248419
Trip length,Equal variances assumed,32.469651224260204,2.5408092087902367e-08,24.59020262539326,356,two-sided,9.659697640869756e-79,[0.26 0.3 ],2.5992651844263452
Trip length,Equal variances not assumed,,,24.59020262539326,298.9239737575155,two-sided,8.837195577187629e-74,[0.26 0.3 ],2.5992651844263452
Time-weighted radius of gyration,Equal variances assumed,16.32226456980542,6.549196354447907e-05,24.769979129941976,356,two-sided,1.875090525215945e-79,[0.28 0.33],2.618268151436011
Time-weighted radius of gyration,Equal variances not assumed,,,24.769979129941976,328.46943189058334,two-sided,3.868859796825393e-77,[0.28 0.33],2.618268151436011
Radius of gyration,Equal variances assumed,18.189799693807185,2.5652137779841255e-05,24.02788634365236,356,two-sided,1.6616012351412498e-76,[0.26 0.31],2.5398265065093177
Radius of gyration,Equal variances not assumed,,,24.02788634365236,323.31108870098643,two-sided,6.550841931750415e-74,[0.26 0.31],2.5398265065093177
Average importance of shopping POI,Equal variances assumed,79.30360246700383,2.776202635270111e-17,14.151794106471122,356,two-sided,2.1999502661257274e-36,[0.19 0.25],1.4958911188529522
Average importance of shopping POI,Equal variances not assumed,,,14.151794106471124,282.1140911341196,two-sided,1.0066538175317748e-34,[0.19 0.25],1.4958911188529522
Average importance of recreation POI,Equal variances assumed,0.07039136905598535,0.7909213602115747,10.704433982694592,356,two-sided,2.2777764607393248e-23,[0.15 0.21],1.1314938308591236
Average importance of recreation POI,Equal variances not assumed,,,10.704433982694592,355.191872706217,two-sided,2.311432070537416e-23,[0.15 0.21],1.1314938308591236
Average importance of restaurant POI,Equal variances assumed,5.247876667100748,0.022557414022369993,11.494997707607093,356,two-sided,3.1948828920761805e-26,[0.15 0.21],1.2150590132018455
Average importance of restaurant POI,Equal variances not assumed,,,11.494997707607093,347.3969459404883,two-sided,3.904734676607718e-26,[0.15 0.21],1.2150590132018455
