name,label,F,pvalue,t,dof,tail,pvalue,CI95%,cohen-d
Average standard deviation of speed,Equal variances assumed,16.087201378714028,7.374263840721885e-05,8.566218319801784,356,two-sided,3.2815759162116293e-16,[0.12 0.19],0.9054774122870747
Average standard deviation of speed,Equal variances not assumed,,,8.566218319801782,326.5689110835584,two-sided,4.2977507304376015e-16,[0.12 0.19],0.9054774122870747
standard deviation of Average speed,Equal variances assumed,4.187666317547512,0.04145322455364919,13.8193670456069,356,two-sided,4.4882274658219395e-35,[0.19 0.26],1.4607524866574912
standard deviation of Average speed,Equal variances not assumed,,,13.8193670456069,346.3051463484606,two-sided,6.711943859188287e-35,[0.19 0.26],1.4607524866574912
Maximum standard deviation of speed,Equal variances assumed,2.5868876607785682,0.10863831514808624,12.941254206035,356,two-sided,1.1622649305816022e-31,[0.18 0.24],1.3679330753387733
Maximum standard deviation of speed,Equal variances not assumed,,,12.941254206035,349.9537216509997,two-sided,1.4250212904469764e-31,[0.18 0.24],1.3679330753387733
Maximum standard deviation of acceleration,Equal variances assumed,35.99343725816558,4.871278422340277e-09,17.221539262271715,356,two-sided,8.888615245979587e-49,[0.25 0.31],1.8203732644491928
Maximum standard deviation of acceleration,Equal variances not assumed,,,17.221539262271715,316.27481290200825,two-sided,2.3757523153409547e-47,[0.25 0.31],1.8203732644491928
Standard deviation ratio of harsh shift points,Equal variances assumed,64.0658197575328,1.7193680630186602e-14,23.827483559492883,356,two-sided,1.0479601118983073e-75,[0.31 0.37],2.5186432739974425
Standard deviation ratio of harsh shift points,Equal variances not assumed,,,23.827483559492883,270.9725206012265,two-sided,1.9362289630362735e-68,[0.31 0.37],2.5186432739974425
Standard deviation ratio of harsh steering points,Equal variances assumed,35.494201036112216,6.148459166281127e-09,18.87395056592876,356,two-sided,1.4698671253417383e-55,[0.25 0.31],1.9950385666176664
Standard deviation ratio of harsh steering points,Equal variances not assumed,,,18.873950565928762,312.46442888691007,two-sided,1.4681924228211577e-53,[0.25 0.31],1.9950385666176664
Average ratio of harsh shift points,Equal variances assumed,9.63120637819719,0.002066038055315039,17.420294274374054,356,two-sided,1.363997354016477e-49,[0.23 0.29],1.8413823220424943
Average ratio of harsh shift points,Equal variances not assumed,,,17.420294274374054,341.56017113651217,two-sided,4.395686819012072e-49,[0.23 0.29],1.8413823220424943
Average ratio of harsh steering points,Equal variances assumed,25.56629201391695,6.854791161551199e-07,14.522552540888956,356,two-sided,7.446121070561928e-38,[0.2  0.26],1.5350815031330525
Average ratio of harsh steering points,Equal variances not assumed,,,14.522552540888956,322.32752412036183,two-sided,4.1059060405969e-37,[0.2  0.26],1.5350815031330525
