name,label,F,pvalue,t,dof,tail,pvalue,CI95%,cohen-d
Ratio of uninterested trips,Equal variances assumed,65.83336472867778,8.05270461308945e-15,21.30634479490645,356,two-sided,1.5930863274134609e-65,[0.25 0.3 ],2.252150625859194
Ratio of uninterested trips,Equal variances not assumed,,,21.306344794906455,278.9486181561998,two-sided,1.8568964733254857e-60,[0.25 0.3 ],2.252150625859194
Ratio of 4-radius of gyration,Equal variances assumed,0.012233321178670197,0.9119924280667878,5.977391900133317,356,two-sided,5.5098860227381894e-09,[0.06 0.11],0.6318299566854462
Ratio of 4-radius of gyration,Equal variances not assumed,,,5.977391900133317,355.8779032281362,two-sided,5.511462348709498e-09,[0.06 0.11],0.6318299566854462
Minimum number of extent-dominating locations,Equal variances assumed,31.02040694344597,5.040441180715198e-08,6.176696124991275,356,two-sided,1.7879585626539375e-09,[0.07 0.13],0.6528970678709151
Minimum number of extent-dominating locations,Equal variances not assumed,,,6.176696124991275,308.2586756821719,two-sided,2.065100961714539e-09,[0.07 0.13],0.6528970678709151
Random entropy,Equal variances assumed,0.00024992554885673476,0.9873955974077409,27.792228197951168,356,two-sided,3.36348714720416e-91,[0.32 0.37],2.937729804551024
Random entropy,Equal variances not assumed,,,27.792228197951168,355.98810844898765,two-sided,3.3729206189933147e-91,[0.32 0.37],2.937729804551024
Location entropy,Equal variances assumed,0.9506761875119443,0.33020929553135525,43.69706297961178,356,two-sided,4.017713326540465e-145,[0.39 0.42],4.6189230806622446
Location entropy,Equal variances not assumed,,,43.69706297961178,353.0233786285391,two-sided,1.814703138627474e-144,[0.39 0.42],4.6189230806622446
OD entropy,Equal variances assumed,2.1300224878847147,0.14532044472019326,34.61853714930341,356,two-sided,5.492985514932442e-116,[0.35 0.4 ],3.659293081832235
OD entropy,Equal variances not assumed,,,34.618537149303414,354.85620308671423,two-sided,8.225844580690999e-116,[0.35 0.4 ],3.659293081832235
Sequence entropy,Equal variances assumed,2.202710241155051,0.13865315700064265,42.410320935179996,356,two-sided,3.037059456895395e-141,[0.37 0.4 ],4.482910220240537
Sequence entropy,Equal variances not assumed,,,42.410320935179996,349.1331783773122,two-sided,8.630080560847747e-140,[0.37 0.4 ],4.482910220240537
Distance from home entropy,Equal variances assumed,3.960763751541474,0.04733700963008298,35.61536292362841,356,two-sided,2.145172666845908e-119,[0.34 0.38],3.76466084026893
Distance from home entropy,Equal variances not assumed,,,35.61536292362841,350.374968976743,two-sided,1.739749946892863e-118,[0.34 0.38],3.76466084026893
